Country,IsLDC2014,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,predLDC,Population2012
Saint Vincent and the Grenadines,0,-1.600045202,-0.547743315,0.294408086,1.138716612,-0.253495931,0.861686482,-0.039055354,109373
San Marino,0,-0.059843816,-0.592427984,-0.239364548,-1.216088417,-0.202092929,-1.087978826,0.268673225,31247
Sao Tome and Principe,1,1.229528502,-0.957756563,0.217975148,-2.268898603,4.542308991,7.221379118,0.504968043,188098
Saudi Arabia,0,-1.76160803,0.252882255,0.24744204,-0.156114633,0.140080009,-0.44266053,-0.014184518,28287855
Senegal,1,2.966606315,-0.720616878,0.353273765,-0.049045673,0.186449374,-0.358290594,0.612151217,13726021
Serbia,0,-2.013315017,-0.17952617,-0.16079306,-0.210594401,-0.051288107,-0.28486048,-0.041221648,7242185
Seychelles,0,-1.378817904,-0.533033489,0.148002925,0.531540574,-0.195321573,0.310669987,0.016932926,92339
Sierra Leone,1,6.089856801,-1.246570389,0.802697726,-0.021586177,-0.064897335,0.210475262,1.032579347,5978727
Singapore,0,-1.953117543,-0.403891148,-0.057784437,-0.138378421,0.109210935,-0.425239295,-0.029812344,5303264
Slovakia,0,-2.078566647,-0.857919536,-2.058634103,1.012415173,0.146084901,0.45733404,-0.131903679,5445757
Viet Nam,0,-0.271771918,0.981558054,-0.703838448,-1.840597269,2.81689032,4.027500864,0.226563057,90795769
Slovenia,0,-1.975141637,-0.973435998,-2.182883094,0.406307299,0.189605867,-0.146232816,-0.087537357,2067717
Somalia,1,4.671307758,-0.196057829,-0.303376779,-2.44388418,-0.383434121,-0.319423636,0.927026561,10195134
South Africa,0,1.045335891,0.885091925,0.246712845,5.869391698,0.237726569,-1.000392164,0.025204446,52385920
Zimbabwe,0,2.790924383,-0.481162763,0.41737246,1.825860847,-0.312171768,-0.05077148,0.49006665,13724317
Spain,0,-1.699280147,0.172250121,-1.693528296,-0.000044514,0.219357767,-0.464081761,-0.049538057,46754541
South Sudan,1,5.841888065,-0.436263683,0.039489469,-1.931902467,-0.309125678,-0.65469135,1.063553618,10837527
Sudan,1,2.437057997,-0.064319001,-0.275127258,-2.175404616,-0.257583544,-0.369280217,0.624242384,37195349
Western Sahara,0,0.003529562,-0.252387109,-0.067581261,-0.047417899,0.045637457,-0.054907054,0.21272295,0
Sudan (former),0,0.821758526,0.618416686,-0.565121018,-1.235938731,-0.118601579,0.757109068,0.347519735,0
Suriname,0,-1.106173259,-0.816416268,0.322058924,0.750565228,-0.074422636,-0.336233446,0.050926872,534541
Swaziland,0,0.868071375,-0.889864167,0.520902906,1.548660063,-0.427001633,-0.123270117,0.269264701,1230985
Sweden,0,-2.135648319,0.162908494,0.092019751,0.365723577,0.086164496,0.187778007,-0.08945583,9511313
Switzerland,0,-1.925303518,-0.238332367,-0.448672311,0.179020351,0.090109535,-0.124050617,-0.053821793,7997399
Syrian Arab Republic,0,-1.096164664,-0.185289584,-0.177487591,-0.439342968,-0.131096939,-0.476637505,0.087826099,21889682
Tajikistan,0,-0.271244807,-0.200173223,-0.434190788,-1.620204979,-0.306948163,-0.571940381,0.248914504,8008990
Thailand,0,-1.612572949,0.758174779,-0.083773688,1.599738969,-0.139270704,0.192198369,-0.102553556,66785001
Togo,1,4.14325134,-1.105128288,0.554014233,-0.052058042,-0.515007383,-0.26769261,0.776282202,6642928
Tokelau,0,-1.533087229,-0.434672555,-0.166032483,-0.36565433,0.089523473,-0.262456067,0.034236149,0
Tonga,0,-1.254352394,-0.420905057,-0.177319309,-0.46911072,-0.271496386,-0.532222147,0.074685328,104941
Trinidad and Tobago,0,-1.590307711,-0.731457992,0.289631508,0.366876453,-0.003986692,0.14778439,0.005628379,1337439
United Arab Emirates,0,-1.811202787,-0.265321417,-0.071694066,-0.154214935,-0.000068831,-0.386480841,-0.014389795,9205651
Tunisia,0,-1.718442729,-0.469092515,0.055966994,0.297312491,-0.078859584,-0.628908925,-0.01805315,10874915
Turkey,0,-1.624103667,0.775656333,-0.31756739,-0.297102603,0.066755889,-0.46372404,-0.012781306,73997128
Turkmenistan,0,-0.103123716,-0.488749063,0.036468276,-0.442965299,-0.186613096,-0.43569689,0.226754585,5172931
Turks and Caicos Islands,0,0.861401042,-0.644592219,-0.012906758,-0.470121541,-0.376787495,-0.331298094,0.354618651,32427
Tuvalu,1,-0.940585393,-0.74498674,0.128734564,-0.292243205,0.123213253,-0.154284603,0.119605471,9860
Uganda,1,4.449664997,-0.33730888,0.476382105,2.467315532,0.684651029,0.314360958,0.667989919,36345860
Ukraine,0,-2.060286698,0.580544578,-0.222875822,0.079580138,0.014488768,-0.226973219,-0.081334071,45529944
The former Yugoslav Republic of Macedonia,0,-1.829883539,-0.420169221,-0.106997815,-0.378359563,-0.055843339,-0.451891509,-0.002397293,2105575
Union of Soviet Socialist Republics [former],0,1.160968254,2.600081559,-0.882489969,0.440562551,0.739535478,0.669993352,0.252517384,0
Egypt,0,-1.068831718,0.643339199,-0.478734161,-1.748383727,0.046783243,-0.411083473,0.132080393,80721874
United Kingdom,0,-2.100068642,2.779920964,4.505001794,-0.512881456,-0.086121431,-0.040782038,-0.017996139,62783115
Channel Islands,0,0.113343918,-0.20884614,-0.157394251,-0.694941312,0.045050037,-0.666360817,0.256866776,0
United Republic of Tanzania,1,4.92960073,0.011838035,0.514435955,3.352286048,0.736833044,0.095759786,0.677059413,47783107
United States,0,-2.35147668,12.07227791,15.75851219,-1.747621245,-0.11949673,-0.513609985,0.00671647,317505266
United States Virgin Islands,0,-0.754519963,-0.494164024,0.091105195,0.336716719,-0.033432677,0.467903884,0.10485791,0
Burkina Faso,1,4.245639252,-0.816833235,0.470496572,0.231179934,-0.159373805,-0.238857026,0.766550578,16460141
Uruguay,0,-1.774462603,-0.408070163,0.187367086,0.90735076,-0.072034119,0.67964753,-0.055097402,3395253
Uzbekistan,0,-1.38296498,-0.206609635,-0.086762128,-0.588111048,0.390075617,0.117232999,0.060840073,28541423
Venezuela,0,-1.522127453,0.097807235,0.26105331,0.758365152,-0.072659301,-0.020686748,-0.025861453,29954782
Wallis and Futuna Islands,0,-0.070120354,-0.305441851,-0.196202041,-0.872154547,0.032980238,-0.811570774,0.243883879,0
Samoa,0,-1.649831531,-0.565911857,-0.012691251,-0.295527643,-0.123112373,-0.38144551,0.021798164,188889
Yemen,1,1.697198045,0.135427347,-0.701496336,-2.76070185,-0.351244998,-0.735739735,0.546036978,23852409
Yugoslavia [former Socialist Federal Republic],0,0.552264536,0.230224486,0.236337855,-0.039667757,-0.007205381,0.066568849,0.277017139,0
Serbia and Montenegro,0,-0.23393129,0.050700409,0.099740122,-0.064354647,-0.022592347,-0.026675867,0.179095997,0
Zambia,1,4.198847036,-0.57391179,0.886515015,3.533225957,0.370299031,0.218139341,0.595332949,14075099
